reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
84;2021-02-26-2021-03-04;0;10365;65.5;6134;59.2;406;3.9;788;7.6;3037;29.3
84;2021-02-27-2021-03-05;0;9618;61.2;5883;61.2;355;3.7;717;7.5;2663;27.7
32;2021-02-12-2021-02-18;09;620;70.2;374;60.3;11;1.8;87;14;148;23.9
32;2021-02-12-2021-02-18;19;1675;64.6;940;56.1;34;2;199;11.9;502;30
32;2021-02-12-2021-02-18;29;1610;60.7;891;55.3;33;2;148;9.2;538;33.4
32;2021-02-12-2021-02-18;39;1864;63;1058;56.8;33;1.8;188;10.1;585;31.4
32;2021-02-12-2021-02-18;49;1802;62.4;1005;55.8;45;2.5;158;8.8;594;33
32;2021-02-12-2021-02-18;59;1587;63.3;844;53.2;25;1.6;166;10.5;552;34.8
32;2021-02-12-2021-02-18;69;1059;60.8;541;51.1;24;2.3;110;10.4;384;36.3
32;2021-02-12-2021-02-18;79;671;54.4;333;49.6;11;1.6;63;9.4;264;39.3
32;2021-02-12-2021-02-18;89;499;53.5;206;41.3;10;2;45;9;238;47.7
32;2021-02-12-2021-02-18;90;242;54.9;100;41.3;4;1.7;38;15.7;100;41.3
32;2021-02-13-2021-02-19;09;648;74;377;58.2;13;2;97;15;161;24.8
32;2021-02-13-2021-02-19;19;1853;68.8;1037;56;44;2.4;194;10.5;578;31.2
32;2021-02-13-2021-02-19;29;1824;65.1;1023;56.1;34;1.9;160;8.8;607;33.3
32;2021-02-13-2021-02-19;39;2041;66.5;1167;57.2;43;2.1;195;9.6;636;31.2
32;2021-02-13-2021-02-19;49;2076;66.9;1163;56;52;2.5;163;7.9;698;33.6
32;2021-02-13-2021-02-19;59;1758;66.9;960;54.6;38;2.2;166;9.4;594;33.8
32;2021-02-13-2021-02-19;69;1193;64.9;622;52.1;26;2.2;112;9.4;433;36.3
32;2021-02-13-2021-02-19;79;746;58.8;379;50.8;16;2.1;62;8.3;289;38.7
32;2021-02-13-2021-02-19;89;576;59.1;242;42;11;1.9;53;9.2;270;46.9
32;2021-02-13-2021-02-19;90;251;57.7;97;38.6;4;1.6;36;14.3;114;45.4
32;2021-02-14-2021-02-20;09;659;75;390;59.2;12;1.8;99;15;158;24
32;2021-02-14-2021-02-20;19;1918;70.2;1078;56.2;46;2.4;201;10.5;593;30.9
32;2021-02-14-2021-02-20;29;1896;66.4;1065;56.2;35;1.8;170;9;626;33
32;2021-02-14-2021-02-20;39;2120;68.2;1222;57.6;43;2;196;9.2;659;31.1
32;2021-02-14-2021-02-20;49;2170;68.2;1212;55.9;55;2.5;168;7.7;735;33.9
32;2021-02-14-2021-02-20;59;1863;67.8;1022;54.9;44;2.4;181;9.7;616;33.1
32;2021-02-14-2021-02-20;69;1231;66.4;647;52.6;28;2.3;117;9.5;439;35.7
32;2021-02-14-2021-02-20;79;798;61.5;397;49.7;20;2.5;71;8.9;310;38.8
32;2021-02-14-2021-02-20;89;616;60.9;258;41.9;12;1.9;62;10.1;284;46.1
32;2021-02-14-2021-02-20;90;248;58.2;97;39.1;4;1.6;35;14.1;112;45.2
32;2021-02-15-2021-02-21;09;666;75;398;59.8;13;2;94;14.1;161;24.2
32;2021-02-15-2021-02-21;19;1940;70.3;1092;56.3;46;2.4;199;10.3;603;31.1
32;2021-02-15-2021-02-21;29;1937;67;1094;56.5;35;1.8;173;8.9;635;32.8
32;2021-02-15-2021-02-21;39;2109;68.1;1224;58;42;2;192;9.1;651;30.9
32;2021-02-15-2021-02-21;49;2188;68.4;1227;56.1;56;2.6;168;7.7;737;33.7
32;2021-02-15-2021-02-21;59;1878;68;1035;55.1;43;2.3;175;9.3;625;33.3
32;2021-02-15-2021-02-21;69;1254;66.4;662;52.8;27;2.2;121;9.6;444;35.4
32;2021-02-15-2021-02-21;79;804;61.6;404;50.2;19;2.4;71;8.8;310;38.6
32;2021-02-15-2021-02-21;89;625;61.1;261;41.8;13;2.1;63;10.1;288;46.1
32;2021-02-15-2021-02-21;90;254;60.6;101;39.8;4;1.6;37;14.6;112;44.1
32;2021-02-16-2021-02-22;09;700;75.4;423;60.4;13;1.9;91;13;173;24.7
32;2021-02-16-2021-02-22;19;2047;72.5;1163;56.8;52;2.5;195;9.5;637;31.1
32;2021-02-16-2021-02-22;29;2092;68.6;1212;57.9;40;1.9;175;8.4;665;31.8
32;2021-02-16-2021-02-22;39;2177;69;1296;59.5;43;2;188;8.6;650;29.9
32;2021-02-16-2021-02-22;49;2376;70.8;1396;58.8;57;2.4;173;7.3;750;31.6
32;2021-02-16-2021-02-22;59;2071;68.6;1191;57.5;50;2.4;167;8.1;663;32
32;2021-02-16-2021-02-22;69;1349;69.1;735;54.5;31;2.3;119;8.8;464;34.4
32;2021-02-16-2021-02-22;79;905;65.7;468;51.7;22;2.4;80;8.8;335;37
32;2021-02-16-2021-02-22;89;671;63.1;307;45.8;13;1.9;50;7.5;301;44.9
32;2021-02-16-2021-02-22;90;278;65.7;119;42.8;5;1.8;35;12.6;119;42.8
32;2021-02-17-2021-02-23;09;730;75.4;441;60.4;16;2.2;97;13.3;176;24.1
32;2021-02-17-2021-02-23;19;2120;72.6;1232;58.1;65;3.1;196;9.2;627;29.6
32;2021-02-17-2021-02-23;29;2184;69.5;1309;59.9;40;1.8;175;8;660;30.2
32;2021-02-17-2021-02-23;39;2247;69.3;1362;60.6;48;2.1;198;8.8;639;28.4
32;2021-02-17-2021-02-23;49;2479;71.2;1489;60.1;55;2.2;185;7.5;750;30.3
32;2021-02-17-2021-02-23;59;2188;69.7;1289;58.9;54;2.5;176;8;669;30.6
32;2021-02-17-2021-02-23;69;1436;70.5;818;57;26;1.8;124;8.6;468;32.6
32;2021-02-17-2021-02-23;79;981;67.7;527;53.7;26;2.7;88;9;340;34.7
32;2021-02-17-2021-02-23;89;676;64.5;332;49.1;13;1.9;57;8.4;274;40.5
32;2021-02-17-2021-02-23;90;281;67.4;130;46.3;5;1.8;33;11.7;113;40.2
32;2021-02-18-2021-02-24;09;735;75.9;454;61.8;20;2.7;96;13.1;165;22.4
32;2021-02-18-2021-02-24;19;2159;73.2;1318;61;61;2.8;175;8.1;605;28
32;2021-02-18-2021-02-24;29;2198;69;1367;62.2;46;2.1;152;6.9;633;28.8
32;2021-02-18-2021-02-24;39;2254;69.5;1420;63;48;2.1;191;8.5;595;26.4
32;2021-02-18-2021-02-24;49;2522;71.5;1540;61.1;53;2.1;172;6.8;757;30
32;2021-02-18-2021-02-24;59;2291;70;1396;60.9;56;2.4;162;7.1;677;29.6
32;2021-02-18-2021-02-24;69;1528;71.4;920;60.2;27;1.8;115;7.5;466;30.5
32;2021-02-18-2021-02-24;79;1034;69.1;570;55.1;28;2.7;98;9.5;338;32.7
32;2021-02-18-2021-02-24;89;715;67.3;358;50.1;14;2;55;7.7;288;40.3
32;2021-02-18-2021-02-24;90;271;66.6;136;50.2;4;1.5;23;8.5;108;39.9
32;2021-02-19-2021-02-25;09;731;75.2;459;62.8;15;2.1;100;13.7;157;21.5
32;2021-02-19-2021-02-25;19;2148;72.5;1349;62.8;50;2.3;175;8.1;574;26.7
32;2021-02-19-2021-02-25;29;2199;68.3;1387;63.1;42;1.9;158;7.2;612;27.8
32;2021-02-19-2021-02-25;39;2303;69.2;1465;63.6;46;2;199;8.6;593;25.7
32;2021-02-19-2021-02-25;49;2494;70.9;1559;62.5;52;2.1;188;7.5;695;27.9
32;2021-02-19-2021-02-25;59;2307;69.8;1463;63.4;58;2.5;151;6.5;635;27.5
32;2021-02-19-2021-02-25;69;1576;72.3;967;61.4;32;2;114;7.2;463;29.4
32;2021-02-19-2021-02-25;79;1023;68.3;574;56.1;23;2.2;106;10.4;320;31.3
32;2021-02-19-2021-02-25;89;702;68.2;359;51.1;15;2.1;61;8.7;267;38
32;2021-02-19-2021-02-25;90;275;66.6;138;50.2;4;1.5;28;10.2;105;38.2
32;2021-02-20-2021-02-26;09;780;76.4;507;65;16;2.1;94;12.1;163;20.9
32;2021-02-20-2021-02-26;19;2116;71.5;1371;64.8;43;2;159;7.5;543;25.7
32;2021-02-20-2021-02-26;29;2256;68.4;1465;64.9;44;2;157;7;590;26.2
32;2021-02-20-2021-02-26;39;2307;69.3;1476;64;46;2;198;8.6;587;25.4
32;2021-02-20-2021-02-26;49;2468;70.2;1586;64.3;61;2.5;177;7.2;644;26.1
32;2021-02-20-2021-02-26;59;2332;70.1;1502;64.4;52;2.2;158;6.8;620;26.6
32;2021-02-20-2021-02-26;69;1592;72;986;61.9;37;2.3;108;6.8;461;29
32;2021-02-20-2021-02-26;79;1054;68.9;600;56.9;26;2.5;109;10.3;319;30.3
32;2021-02-20-2021-02-26;89;683;65.9;351;51.4;19;2.8;65;9.5;248;36.3
32;2021-02-20-2021-02-26;90;286;65.6;146;51;5;1.7;34;11.9;101;35.3
32;2021-02-21-2021-02-27;09;806;76.1;530;65.8;16;2;98;12.2;162;20.1
32;2021-02-21-2021-02-27;19;2127;71.6;1391;65.4;41;1.9;152;7.1;543;25.5
32;2021-02-21-2021-02-27;29;2281;68.6;1487;65.2;45;2;158;6.9;591;25.9
32;2021-02-21-2021-02-27;39;2324;69.2;1501;64.6;52;2.2;197;8.5;574;24.7
32;2021-02-21-2021-02-27;49;2516;70.4;1640;65.2;61;2.4;179;7.1;636;25.3
