fra;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
FR;2021-02-23-2021-03-01;79;6701;59.7;3588;53.5;293;4.4;622;9.3;2198;32.8
FR;2021-02-23-2021-03-01;89;4405;59.4;2076;47.1;161;3.7;463;10.5;1705;38.7
FR;2021-02-23-2021-03-01;90;2005;58.5;817;40.7;80;4;217;10.8;891;44.4
FR;2021-02-24-2021-03-02;09;4576;65.4;2938;64.2;216;4.7;429;9.4;993;21.7
FR;2021-02-24-2021-03-02;19;13908;61.7;8694;62.5;799;5.7;1067;7.7;3348;24.1
FR;2021-02-24-2021-03-02;29;15924;58.1;9900;62.2;895;5.6;1371;8.6;3758;23.6
FR;2021-02-24-2021-03-02;39;15619;58.4;9815;62.8;880;5.6;1300;8.3;3624;23.2
FR;2021-02-24-2021-03-02;49;15807;60.4;9875;62.5;858;5.4;1209;7.6;3865;24.5
FR;2021-02-24-2021-03-02;59;14704;60.5;8998;61.2;824;5.6;1100;7.5;3782;25.7
FR;2021-02-24-2021-03-02;69;10751;61.2;6265;58.3;626;5.8;847;7.9;3013;28
FR;2021-02-24-2021-03-02;79;6566;59.1;3676;56;281;4.3;597;9.1;2012;30.6
FR;2021-02-24-2021-03-02;89;4301;58.5;2078;48.3;167;3.9;451;10.5;1605;37.3
FR;2021-02-24-2021-03-02;90;1884;57.5;823;43.7;72;3.8;214;11.4;775;41.1
FR;2021-02-25-2021-03-03;09;4567;64.5;2988;65.4;206;4.5;435;9.5;938;20.5
FR;2021-02-25-2021-03-03;19;13997;61.5;8991;64.2;764;5.5;1093;7.8;3149;22.5
FR;2021-02-25-2021-03-03;29;15963;58.2;10169;63.7;851;5.3;1392;8.7;3551;22.2
FR;2021-02-25-2021-03-03;39;15656;58.4;10043;64.1;885;5.7;1308;8.4;3420;21.8
FR;2021-02-25-2021-03-03;49;15667;60.2;10064;64.2;814;5.2;1199;7.7;3590;22.9
FR;2021-02-25-2021-03-03;59;14527;60;9082;62.5;801;5.5;1074;7.4;3570;24.6
FR;2021-02-25-2021-03-03;69;10607;60.7;6296;59.4;621;5.9;837;7.9;2853;26.9
FR;2021-02-25-2021-03-03;79;6456;58.3;3681;57;296;4.6;590;9.1;1889;29.3
FR;2021-02-25-2021-03-03;89;4123;57.1;2059;49.9;156;3.8;440;10.7;1468;35.6
FR;2021-02-25-2021-03-03;90;1778;56.8;808;45.4;75;4.2;213;12;682;38.4
FR;2021-02-26-2021-03-04;09;4654;64.8;3103;66.7;213;4.6;458;9.8;880;18.9
FR;2021-02-26-2021-03-04;19;14013;61.4;9206;65.7;754;5.4;1094;7.8;2959;21.1
FR;2021-02-26-2021-03-04;29;16079;58.2;10513;65.4;829;5.2;1391;8.7;3346;20.8
FR;2021-02-26-2021-03-04;39;15515;58.3;10107;65.1;892;5.7;1303;8.4;3213;20.7
FR;2021-02-26-2021-03-04;49;15662;60.4;10278;65.6;798;5.1;1199;7.7;3387;21.6
FR;2021-02-26-2021-03-04;59;14296;59.9;9109;63.7;765;5.4;1097;7.7;3325;23.3
